time=98.08273339271545,percent=4.6
time=111.15755534172058,percent=7.6
time=124.84756755828857,percent=7.8
time=137.52049469947815,percent=7.8
time=151.14175868034363,percent=7.8
time=164.61870980262756,percent=7.9
time=177.4028763771057,percent=8.0
time=190.80612421035767,percent=8.0
time=204.02330017089844,percent=8.2
time=217.9192988872528,percent=8.2
time=231.71320962905884,percent=8.3
time=245.14516019821167,percent=8.3
time=257.52963948249817,percent=8.3
time=270.336044549942,percent=8.4
time=283.89944434165955,percent=8.5
time=297.456414937973,percent=8.5
time=310.99224519729614,percent=8.6
time=324.0689585208893,percent=8.6
time=337.29516077041626,percent=8.7
time=351.0895757675171,percent=8.8
time=364.56766533851624,percent=8.8
time=377.8778896331787,percent=8.8
time=391.89513516426086,percent=9.0
time=405.53108167648315,percent=9.0
time=418.1303200721741,percent=9.0
time=431.3900020122528,percent=9.1
time=444.92019033432007,percent=9.1
time=458.6636552810669,percent=9.2
time=471.8025875091553,percent=9.3
time=485.81449580192566,percent=9.4
time=498.49883341789246,percent=9.4
time=511.85087990760803,percent=9.5
time=525.1461515426636,percent=9.5
time=538.834196805954,percent=9.5
time=552.0548675060272,percent=9.6
time=565.9759292602539,percent=9.7
time=579.3920364379883,percent=9.7
time=593.3856995105743,percent=9.7
time=606.3417539596558,percent=9.8
time=620.0010259151459,percent=9.8
time=633.8936986923218,percent=9.9
time=647.5882480144501,percent=10.0
time=660.6790659427643,percent=10.0
time=674.9911630153656,percent=10.1
time=688.3129720687866,percent=10.2
time=701.8550610542297,percent=10.2
time=714.9863681793213,percent=10.2
time=728.4341554641724,percent=10.3
time=742.3245315551758,percent=10.4
time=755.8803789615631,percent=10.4
time=769.6814739704132,percent=10.5
time=782.708489894867,percent=10.5
time=796.4399690628052,percent=10.6
time=809.5449469089508,percent=10.6
time=823.4872622489929,percent=10.7
time=836.6500933170319,percent=10.7
time=850.4788753986359,percent=10.8
time=863.8114778995514,percent=10.9
time=877.7328715324402,percent=10.9
time=890.9809303283691,percent=11.0
time=904.1116967201233,percent=11.0
time=917.7547912597656,percent=11.0
time=931.2567138671875,percent=11.1
time=944.4860904216766,percent=11.2
time=958.2152378559113,percent=11.2
time=971.1310698986053,percent=11.3
time=984.8392894268036,percent=11.3
time=997.8687002658844,percent=11.4
time=1011.3558366298676,percent=11.4
time=1024.562639951706,percent=11.5
time=1038.4613480567932,percent=11.5
time=1051.3075337409973,percent=11.6
time=1064.959702014923,percent=11.6
time=1078.7278020381927,percent=11.7
time=1092.2152736186981,percent=11.7
time=1106.1475095748901,percent=11.8
time=1119.4526858329773,percent=11.8
time=1133.221370458603,percent=11.9
