sigma= 0.01
sigma= 0.01
sigma= 0.01
sigma= 0.01
sigma= 0.01
sigma= 0.01
sigma= 0.01
sigma= 0.01
sigma= 0.01
sigma= 0.01
sigma= 0.01
sigma= 0.01
sigma= 0.01
sigma= 0.01
sigma= 0.01
sigma= 0.01
sigma= 0.01
sigma= 0.01
sigma= 0.01
sigma= 0.01
sigma= 0.01
sigma= 0.01
sigma= 0.01
sigma= 0.01
sigma= 0.01
sigma= 0.01
sigma= 0.01
sigma= 0.01
sigma= 0.01
sigma= 0.01
run=27,niter=4,rel_err=9.517909308988329e-05
run=28,niter=5,rel_err=8.674538767736128e-05
run=66,niter=41,rel_err=8.952556224525946e-05
run=54,niter=43,rel_err=8.748443856849786e-05
run=75,niter=96,rel_err=8.578605731742912e-05
run=39,niter=117,rel_err=9.212122906630411e-05
run=15,niter=94,rel_err=8.235180295152286e-05
run=0,niter=120,rel_err=9.089830079450414e-05
run=18,niter=163,rel_err=9.362138937842728e-05
run=81,niter=310,rel_err=0.00010036207693693305
run=33,niter=163,rel_err=9.81793091966906e-05
run=82,niter=45,rel_err=9.549374800192395e-05
run=42,niter=383,rel_err=9.297600969346607e-05
run=67,niter=315,rel_err=9.06216471036249e-05
run=83,niter=91,rel_err=9.315460441213465e-05
run=45,niter=278,rel_err=0.00010098088625452582
run=29,niter=309,rel_err=0.00010344295256485805
run=19,niter=198,rel_err=8.870983922979192e-05
run=69,niter=515,rel_err=0.00010208644933956366
run=16,niter=255,rel_err=9.6424109867817e-05
run=60,niter=708,rel_err=9.552020904925949e-05
run=68,niter=142,rel_err=8.684751928137368e-05
run=21,niter=498,rel_err=9.961944737396622e-05
run=24,niter=517,rel_err=9.28797145284432e-05
run=34,niter=269,rel_err=9.011850656670093e-05
run=3,niter=698,rel_err=8.994025850882511e-05
run=63,niter=508,rel_err=8.775843561174325e-05
run=9,niter=558,rel_err=9.31499755080002e-05
run=48,niter=806,rel_err=8.284614019715895e-05
run=20,niter=445,rel_err=9.643119877430919e-05
run=43,niter=646,rel_err=8.549066308679688e-05
run=22,niter=318,rel_err=9.027456123610438e-05
run=35,niter=290,rel_err=9.733504874443488e-05
run=72,niter=815,rel_err=9.05055025079738e-05
run=70,niter=575,rel_err=8.61736944106013e-05
run=57,niter=985,rel_err=9.33910694907331e-05
run=4,niter=475,rel_err=0.00010726060868882313
run=64,niter=418,rel_err=9.381601648234755e-05
run=17,niter=538,rel_err=9.563187919741139e-05
run=58,niter=78,rel_err=9.268708402355315e-05
run=46,niter=718,rel_err=0.0001023655686443649
run=87,niter=903,rel_err=8.876160335417939e-05
run=61,niter=601,rel_err=9.012773936784074e-05
run=71,niter=200,rel_err=9.024653524707406e-05
run=1,niter=1527,rel_err=9.123295929945046e-05
run=2,niter=184,rel_err=9.71968780092531e-05
run=76,niter=1121,rel_err=9.136165188836379e-05
run=30,niter=1615,rel_err=9.664147055874198e-05
run=51,niter=1389,rel_err=8.80775764895913e-05
run=40,niter=925,rel_err=9.159818661964072e-05
run=49,niter=622,rel_err=9.3447886591911e-05
run=12,niter=1588,rel_err=8.637168112632273e-05
run=52,niter=187,rel_err=9.021307981402496e-05
run=6,niter=1927,rel_err=8.471721445265385e-05
run=73,niter=563,rel_err=9.082115052484667e-05
run=7,niter=104,rel_err=7.969700102946103e-05
run=55,niter=1137,rel_err=8.411815914403051e-05
run=5,niter=482,rel_err=8.698655299344767e-05
run=13,niter=227,rel_err=9.555637624704223e-05
run=78,niter=1939,rel_err=8.941407028933922e-05
run=56,niter=38,rel_err=8.806965892170039e-05
run=10,niter=824,rel_err=8.688820446627429e-05
run=25,niter=1250,rel_err=9.260259268122725e-05
run=88,niter=499,rel_err=9.338466970359103e-05
run=44,niter=760,rel_err=8.770227255846067e-05
run=53,niter=239,rel_err=9.564356117432109e-05
run=36,niter=1584,rel_err=9.338785877906664e-05
run=65,niter=1170,rel_err=9.753164943720502e-05
run=47,niter=674,rel_err=9.64371604696098e-05
run=59,niter=599,rel_err=8.950589256604167e-05
run=41,niter=394,rel_err=9.69340807387676e-05
run=77,niter=703,rel_err=9.417235491544457e-05
run=37,niter=562,rel_err=8.400607163825207e-05
run=38,niter=25,rel_err=9.060989426140299e-05
run=84,niter=1750,rel_err=8.957162636352572e-05
run=74,niter=457,rel_err=9.000833950565079e-05
run=89,niter=493,rel_err=9.292441614170236e-05
run=26,niter=985,rel_err=0.00010063542068838139
run=50,niter=604,rel_err=8.393566395029206e-05
run=62,niter=1248,rel_err=8.933322802748336e-05
run=79,niter=1087,rel_err=8.983734310565677e-05
run=80,niter=125,rel_err=9.388350057806329e-05
run=23,niter=2159,rel_err=9.02696195083563e-05
run=14,niter=1032,rel_err=8.875513099694262e-05
run=31,niter=2009,rel_err=9.074459851535843e-05
run=85,niter=305,rel_err=0.00010395720711176484
run=11,niter=1023,rel_err=9.899374247339297e-05
run=86,niter=418,rel_err=8.690610591690997e-05
run=8,niter=2335,rel_err=9.848833464260824e-05
run=32,niter=1084,rel_err=9.35207862924443e-05
